ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
4596;M;310;RED;VAL;2016;1;N;0;#N/A;2;0.817271251;0.20032828;0.48012241;0.164131916;0.731998183;0.480612891;0.451093505
4647;F;330;RED;FRA;2016;1;Y;1;1;2;0.342303287;0.34474245;0.856982432;0.227954691;0.201871514;0.750680452;0.554130044
4647;F;375;RED;FRA;2016;2;Y;#N/A;#N/A;#N/A;0.562314369;0.280618654;0.73293517;0;0.722028476;0.498457883;0.469904379
4659;M;265;RED;BOR;2016;1;Y;1;#N/A;1;0.853623047;0.059679461;0.496589646;0.786732404;0.25379875;0.420295717;0.352816899
4659;M;285;RED;BOR;2016;2;Y;#N/A;#N/A;#N/A;0.700547398;0.231263915;0.634894722;0;0.706720037;0.205564857;0.663298604
4675;F;310;RED;VAL;2016;1;N;1;0;3;0.635087177;0.261658048;0.681552408;0;0.87501396;0.25132898;0.399332665
4680;M;305;RED;VAL;2017;1;Y;1;#N/A;4;0.252787043;0.370704911;0.87435459;0.307792475;0.419879915;0.847160641;0.075111583
4680;M;295;RED;VAL;2017;2;Y;#N/A;#N/A;#N/A;0.676416745;0.16999313;0.69680921;0.075293193;0.853576494;0.328705033;0.391767583
4683;M;315;RED;VAL;2016;1;Y;1;#N/A;4;0.675857004;0.194205898;0.683098951;0.195909123;0.326253069;0.784749105;0.475933046
4683;M;310;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.804979124;0.285050063;0.516075478;0.951196874;0;0.161933356;0.237910993
4683;M;325;RED;VAL;2017;3;Y;1;#N/A;4;0.872436623;0.15769633;0.459224097;0.150210621;0.910468835;0.357268689;0.117542967
4683;M;325;RED;VAL;2017;4;Y;#N/A;#N/A;#N/A;0.867734526;0.141603743;0.459394498;0;0.839720732;0.212860293;0.495288412
4687;F;285;RED;VAL;2016;1;Y;1;0;2;0.838933576;0.209336535;0.452622183;0;0.967018301;0.200107774;0.108837155
4687;F;300;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.862520725;0.151694077;0.436541226;0;0.863643994;0.112784371;0.47666467
4690;M;345;RED-GREY;C03-17;2016;1;N;0;#N/A;2;0.831247772;0.111375069;0.541851325;0.972039802;0;0.101094682;0.189474863
4691;M;295;RED-GREY;C03-17;2016;1;Y;1;#N/A;3;0.823105883;0.410949808;0.377950094;0.129404318;0.897610704;0.252640644;0.332937417
4691;M;320;RED-GREY;C03-17;2017;2;Y;1;#N/A;3;0.85015264;0.17288647;0.479988537;0.162755422;0.744617756;0.468473071;0.408551289
4691;M;330;RED-GREY;C03-17;2017;3;Y;#N/A;#N/A;#N/A;0.866964349;0.142202748;0.443877861;0;0.935608263;0.207122035;0.278539319
4700;F;325;RED-GREY;C03-17;2016;1;Y;1;1;3;0.891664466;0.068606077;0.392509612;0.171036089;0.925561483;0;0.30833769
4700;F;335;RED-GREY;C03-17;2016;2;Y;#N/A;#N/A;#N/A;0.782309099;0.306761811;0.520786331;0.11089745;0.818955587;0.190860611;0.455846646
4700;F;300;RED-GREY;C03-17;2017;3;Y;0;1;3;0.777715683;0.187273806;0.575154987;0.523760649;0.404350293;0.437569791;0.572161386
4702;M;335;RED-GREY;C03-17;2016;1;Y;1;#N/A;4;0.809136953;0.184975562;0.555058677;0.974229766;0;0.130004202;0.135375356
4702;M;320;RED-GREY;C03-17;2016;2;Y;#N/A;#N/A;#N/A;0.903008356;0.229602213;0.337561454;0.13489185;0.698833581;0.219694392;0.662546844
4702;M;340;RED-GREY;C03-17;2017;3;Y;1;#N/A;4;0.884493841;0.066688549;0.435600297;0.069704119;0.664451206;0.258434704;0.695530992
4702;M;330;RED-GREY;C03-17;2017;4;Y;#N/A;#N/A;#N/A;0.908828965;0.076207432;0.406287942;0.068461692;0.899765705;0.192028257;0.358010192
4727;M;290;RED-GREY;C06-04;2016;1;Y;1;#N/A;3;0;0.255634666;0.960438033;0.183815279;0.70923646;0.404641371;0.540683322
4727;M;280;RED-GREY;C06-04;2017;2;Y;1;#N/A;3;0.474204916;0.203238939;0.836945554;0.661526402;0;0.694539903;0.185556937
4727;M;300;RED-GREY;C06-04;2017;3;Y;#N/A;#N/A;#N/A;0.454558291;0.115829225;0.87236761;0.610892449;0;0.738702927;0.248210193
