number,Plant_ID,Flower_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),,,,,,,,,,
40,LH5,40,6/23/15,6/24/15,8,2.3,23,2.784503632,Yes,0,0,0,0,0,0,NA,0,0,0,0,218,0,0,0,0,0,36.33333333,218,25064.92388,4.399083717,,,,,,,,,,
41,LH6,41,6/23/15,6/24/15,1,2.3,23,2.784503632,Yes,0,0,0,0,0,0,NA,0,0,0,0,8,6,0,0,0,0,2.333333333,14,1609.674011,3.207007651,,,,,,,,,,
42,LH6,42,6/23/15,6/24/15,2,3.1,31,3.753026634,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0.333333333,2,179.9018612,2.257443035,,,,,,,,,,
43,LH6,43,6/23/15,6/24/15,3,1.9,19,2.300242131,Yes,13,0,0,0,0,0,NA,2.166666667,13,58.72293346,1.776141131,5,4,1,0,0,0,1.666666667,10,1353.924866,3.131915213,,,,,,,,,,
44,LH6,44,6/23/15,6/24/15,4,3.2,32,3.87409201,Yes,14,0,0,0,0,0,NA,2.333333333,14,40.96471471,1.622884275,8,3,1,1,0,0,2.166666667,13,1140.132763,3.057336175,,,,,,,,,,
45,LH6,45,6/23/15,6/24/15,5,0.8,8,0.968523002,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
46,LH6,46,6/23/15,6/24/15,6,1.9,19,2.300242131,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
47,LH6,47,6/23/15,6/24/15,7,2.6,26,3.147699758,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
48,LH6,48,6/23/15,6/24/15,8,1.8,18,2.179176755,Yes,0,0,0,0,0,0,NA,0,0,0,0,28,1,1,0,0,0,5,30,4257.425743,3.629249079,,,,,,,,,,
49,LH7,49,6/23/15,6/24/15,1,3.4,34,4.11622276,Yes,56,0,0,0,0,0,NA,9.333333333,56,156.1985515,2.19644854,11,10,1,0,0,0,3.666666667,22,1839.254514,3.264877892,,,,,,,,,,
50,LH7,50,6/23/15,6/24/15,2,0.4,4,0.484261501,Yes,21,0,0,0,0,0,NA,3.5,21,403.2882883,2.606691161,1,1,0,0,0,0,0.333333333,2,1151.215122,3.061533571,,,,,,,,,,
51,LH7,51,6/23/15,6/24/15,3,2.3,23,2.784503632,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0.333333333,2,229.9534301,2.363524417,,,,,,,,,,
52,LH7,52,6/23/15,6/24/15,4,1,10,1.210653753,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
53,LH7,53,6/23/15,6/24/15,5,2.5,25,3.026634383,Yes,0,0,0,0,0,0,NA,0,0,0,0,20,0,0,0,0,0,3.333333333,20,2144.374437,3.331503102,,,,,,,,,,
54,LH7,54,6/23/15,6/24/15,6,1.5,15,1.81598063,Yes,75,0,0,0,0,0,NA,12.5,75,417.1171171,2.621297947,4,3,1,1,0,0,1.5,9,1500.270027,3.176458814,,,,,,,,,,
55,LH7,55,6/23/15,6/24/15,7,1.4,14,1.694915254,Yes,30,0,0,0,0,0,NA,5,30,177.4774775,2.251583419,7,0,0,0,0,0,1.166666667,7,1241.224122,3.094199958,,,,,,,,,,
56,LH7,56,6/23/15,6/24/15,8,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,#REF!,#REF!,#REF!,#REF!,1,0,0,0,0,0,0.166666667,1,761.4761476,2.882226262,,,,,,,,,,
57,LH8,57,6/23/15,6/24/15,1,0.9,9,1.089588378,Yes,74,0,0,0,0,0,NA,0,0,0,0,4,1,0,0,0,0,0.833333333,5,1329.132913,3.12389504,,,,,,,,,,
58,LH8,58,6/23/15,6/24/15,2,1.2,12,1.452784504,Yes,5,0,0,0,0,0,NA,0.833333333,5,34.00900901,1.544179817,8,5,5,1,0,0,3.166666667,19,3873.537354,3.588219852,,,,,,,,,,
59,LH8,59,6/23/15,6/24/15,3,0.4,4,0.484261501,Yes,14,0,0,0,0,0,NA,2.333333333,14,268.8588589,2.43113668,1,1,0,0,0,0,0.333333333,2,1151.215122,3.061533571,,,,,,,,,,
60,LH8,60,6/23/15,6/24/15,4,0.5,5,0.605326877,Yes,0,0,0,0,0,0,NA,0,0,0,0,2,1,0,0,0,0,0.5,3,1392.259226,3.144031928,,,,,,,,,,
61,LH8,61,6/23/15,6/24/15,5,0.1,1,0.121065375,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,1,2248.424842,3.352071487,,,,,,,,,,
62,LH8,62,6/23/15,6/24/15,6,0.9,9,1.089588378,Yes,3,0,0,0,0,0,NA,0.5,3,26.60660661,1.441013027,5,3,0,0,0,0,1.333333333,8,2126.612661,3.327892566,,,,,,,,,,
63,LH8,63,6/23/15,6/24/15,7,0.5,5,0.605326877,Yes,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0.333333333,2,928.1728173,2.968096496,,,,,,,,,,
64,LH8,64,6/23/15,6/24/15,8,0.6,6,0.726392252,Yes,3,0,0,0,0,0,NA,0.5,3,39.00900901,1.602157794,50,29,3,3,0,0,14.16666667,85,33127.81278,4.520205873,,,,,,,,,,
